BW25113_RS00005,thrL
BW25113_RS00010,thrA
BW25113_RS00015,thrB
BW25113_RS00020,thrC
BW25113_RS00030,yaaX
BW25113_RS00035,yaaA
BW25113_RS00040,yaaJ
BW25113_RS00045,tal
BW25113_RS00050,mog
BW25113_RS00055,satP
BW25113_RS00060,msyB
BW25113_RS00065,yaaI
BW25113_RS00070,dnaK
BW25113_RS00075,dnaJ
BW25113_RS00080,WITHOUT NAME
BW25113_RS00085,mokC
BW25113_RS00090,nhaA
BW25113_RS00095,nhaR
BW25113_RS25960,WITHOUT NAME
BW25113_RS00100,WITHOUT NAME
BW25113_RS00110,rpsT
BW25113_RS00115,yaaY
BW25113_RS00120,ribF
BW25113_RS00125,ileS
BW25113_RS00130,lspA
BW25113_RS00135,fkpB
BW25113_RS00140,ispH
BW25113_RS00145,rihC
BW25113_RS00150,dapB
BW25113_RS00165,carA
BW25113_RS00170,carB
BW25113_RS00180,caiF
BW25113_RS00185,caiE
BW25113_RS00190,caiD
BW25113_RS00195,caiC
BW25113_RS00200,caiB
BW25113_RS00205,caiA
BW25113_RS00210,caiT
BW25113_RS00215,fixA
BW25113_RS00220,fixB
BW25113_RS00225,fixC
BW25113_RS00230,fixX
BW25113_RS00235,yaaU
BW25113_RS00240,kefF
BW25113_RS00245,kefC
BW25113_RS00250,folA
BW25113_RS00255,apaH
BW25113_RS00260,apaG
BW25113_RS00265,rsmA
BW25113_RS00270,pdxA
BW25113_RS00275,surA
BW25113_RS00280,lptD
BW25113_RS00285,djlA
BW25113_RS00290,yabP
BW25113_RS25860,yabQ
BW25113_RS25400,WITHOUT NAME
BW25113_RS00295,rluA
BW25113_RS00300,rapA
BW25113_RS00305,polB
BW25113_RS00310,araD
BW25113_RS00315,araC
BW25113_RS00320,yabI
BW25113_RS00325,thiQ
BW25113_RS00330,thiP
BW25113_RS00335,thiB
BW25113_RS00340,sgrR
BW25113_RS00345,sgrT
BW25113_RS00350,setA
BW25113_RS00355,leuD
BW25113_RS00360,leuC
BW25113_RS00365,leuB
BW25113_RS00370,leuA
BW25113_RS00375,leuL
BW25113_RS00380,leuO
BW25113_RS25405,WITHOUT NAME
BW25113_RS00385,ilvI
BW25113_RS00390,ilvN
BW25113_RS00395,WITHOUT NAME
BW25113_RS00400,cra
BW25113_RS00405,mraZ
BW25113_RS00410,rsmH
BW25113_RS00415,ftsL
BW25113_RS00420,ftsI
BW25113_RS00425,murE
BW25113_RS00430,murF
BW25113_RS00435,mraY
BW25113_RS00440,murD
BW25113_RS00445,ftsW
BW25113_RS00450,murG
BW25113_RS00455,murC
BW25113_RS00460,ddlB
BW25113_RS00465,ftsQ
BW25113_RS00470,ftsA
BW25113_RS00475,ftsZ
BW25113_RS00480,lpxC
BW25113_RS00485,secM
BW25113_RS00490,secA
BW25113_RS00495,mutT
BW25113_RS00505,yacG
BW25113_RS00510,zapD
BW25113_RS00515,coaE
BW25113_RS25965,WITHOUT NAME
BW25113_RS00520,guaC
BW25113_RS00525,hofC
BW25113_RS00530,gspE
BW25113_RS00535,ppdD
BW25113_RS00545,nadC
BW25113_RS00550,ampD
BW25113_RS00555,ampE
BW25113_RS00560,aroP
BW25113_RS00565,pdhR
BW25113_RS00570,aceE
BW25113_RS00575,aceF
BW25113_RS00580,lpdA
BW25113_RS00585,yacH
BW25113_RS00590,acnB
BW25113_RS00595,yacL
BW25113_RS00600,speD
BW25113_RS00605,speE
BW25113_RS00610,yacC
BW25113_RS00615,cueO
BW25113_RS26300,WITHOUT NAME
BW25113_RS00620,gcd
BW25113_RS00625,hpt
BW25113_RS00630,can
BW25113_RS00635,yadG
BW25113_RS00640,yadH
BW25113_RS00645,yadI
BW25113_RS00650,yadE
BW25113_RS00655,panD
BW25113_RS00660,rpnC
BW25113_RS00665,panC
BW25113_RS00670,panB
BW25113_RS00675,yadC
BW25113_RS00680,yadK
BW25113_RS00685,yadL
BW25113_RS00690,yadM
BW25113_RS00695,htrE
BW25113_RS00700,yadV
BW25113_RS00705,yadN
BW25113_RS00710,folK
BW25113_RS00715,pcnB
BW25113_RS00720,gluQRS
BW25113_RS00725,dksA
BW25113_RS00730,sfsA
BW25113_RS00735,thpR
BW25113_RS00740,hrpB
BW25113_RS00750,mrcB
BW25113_RS00755,fhuA
BW25113_RS00760,fhuC
BW25113_RS00765,fhuD
BW25113_RS00770,fhuB
BW25113_RS00775,hemL
BW25113_RS26045,yadX
BW25113_RS00780,clcA
BW25113_RS25410,yadW
BW25113_RS00785,erpA
BW25113_RS00790,yadS
BW25113_RS00795,btuF
BW25113_RS00800,mtnN
BW25113_RS00805,dgt
BW25113_RS00810,degP
