# Program:featureCounts v2.0.6; Command:"featureCounts" "-s" "1" "-M" "-Q" "20" "-T" "5" "-t" "gene" "-g" "gene_id" "-a" "../ref/true_genes_only.gtf" "-o" "../data08/feature/A02-bowtie1.txt" "../data08/bowtie/A02-bowtie1.txt" 
Geneid	Chr	Start	End	Strand	Length	../data08/bowtie/A02-bowtie1.txt
BW25113_RS00005	NZ_CP009273.1	190	255	+	66	98
BW25113_RS00010	NZ_CP009273.1	337	2799	+	2463	604
BW25113_RS00015	NZ_CP009273.1	2801	3733	+	933	179
BW25113_RS00020	NZ_CP009273.1	3734	5020	+	1287	837
BW25113_RS00030	NZ_CP009273.1	5234	5530	+	297	76
BW25113_RS00035	NZ_CP009273.1	5683	6459	-	777	302
BW25113_RS00040	NZ_CP009273.1	6529	7959	-	1431	31
BW25113_RS00045	NZ_CP009273.1	8238	9191	+	954	9547
BW25113_RS00050	NZ_CP009273.1	9306	9893	+	588	337
BW25113_RS00055	NZ_CP009273.1	9928	10494	-	567	2
BW25113_RS00060	NZ_CP009273.1	10643	11356	-	714	5
BW25113_RS00065	NZ_CP009273.1	11382	11786	-	405	1
BW25113_RS00070	NZ_CP009273.1	12163	14079	+	1917	83810
BW25113_RS00075	NZ_CP009273.1	14168	15298	+	1131	2261
BW25113_RS00080	NZ_CP009273.1	15445	16557	+	1113	51
BW25113_RS00085	NZ_CP009273.1	16751	16903	-	153	3
BW25113_RS00090	NZ_CP009273.1	17489	18655	+	1167	125
BW25113_RS00095	NZ_CP009273.1	18721	19620	+	900	40
BW25113_RS25960	NZ_CP009273.1	19658	19795	-	138	0
BW25113_RS00100	NZ_CP009273.1	19811	20508	-	698	3
BW25113_RS00110	NZ_CP009273.1	20815	21078	-	264	2786
BW25113_RS00115	NZ_CP009273.1	21181	21399	+	219	1
BW25113_RS00120	NZ_CP009273.1	21407	22348	+	942	154
BW25113_RS00125	NZ_CP009273.1	22391	25207	+	2817	3391
BW25113_RS00130	NZ_CP009273.1	25207	25701	+	495	188
BW25113_RS00135	NZ_CP009273.1	25826	26275	+	450	154
BW25113_RS00140	NZ_CP009273.1	26277	27227	+	951	338
BW25113_RS00145	NZ_CP009273.1	27293	28207	+	915	899
BW25113_RS00150	NZ_CP009273.1	28374	29195	+	822	714
BW25113_RS00165	NZ_CP009273.1	29651	30799	+	1149	89
BW25113_RS00170	NZ_CP009273.1	30817	34038	+	3222	326
BW25113_RS00180	NZ_CP009273.1	34300	34695	+	396	56
BW25113_RS00185	NZ_CP009273.1	34781	35371	-	591	0
BW25113_RS00190	NZ_CP009273.1	35377	36162	-	786	18
BW25113_RS00195	NZ_CP009273.1	36271	37824	-	1554	2
BW25113_RS00200	NZ_CP009273.1	37898	39115	-	1218	16
BW25113_RS00205	NZ_CP009273.1	39244	40386	-	1143	16
BW25113_RS00210	NZ_CP009273.1	40417	41931	-	1515	0
BW25113_RS00215	NZ_CP009273.1	42403	43173	+	771	2
BW25113_RS00220	NZ_CP009273.1	43188	44129	+	942	1
BW25113_RS00225	NZ_CP009273.1	44180	45466	+	1287	3
BW25113_RS00230	NZ_CP009273.1	45463	45750	+	288	3
BW25113_RS00235	NZ_CP009273.1	45807	47138	+	1332	1
BW25113_RS00240	NZ_CP009273.1	47246	47776	+	531	19
BW25113_RS00245	NZ_CP009273.1	47769	49631	+	1863	22
BW25113_RS00250	NZ_CP009273.1	49823	50302	+	480	140
BW25113_RS00255	NZ_CP009273.1	50380	51222	-	843	109
BW25113_RS00260	NZ_CP009273.1	51229	51606	-	378	44
BW25113_RS00265	NZ_CP009273.1	51609	52430	-	822	216
BW25113_RS00270	NZ_CP009273.1	52427	53416	-	990	78
BW25113_RS00275	NZ_CP009273.1	53416	54702	-	1287	1146
BW25113_RS00280	NZ_CP009273.1	54755	57109	-	2355	1046
BW25113_RS00285	NZ_CP009273.1	57364	58179	+	816	72
BW25113_RS00290	NZ_CP009273.1	58474	59124	+	651	14
BW25113_RS25860	NZ_CP009273.1	59121	59279	+	159	7
BW25113_RS25400	NZ_CP009273.1	59296	59474	-	179	0
BW25113_RS00295	NZ_CP009273.1	59687	60346	-	660	15
BW25113_RS00300	NZ_CP009273.1	60358	63264	-	2907	227
BW25113_RS00305	NZ_CP009273.1	63429	65780	-	2352	37
BW25113_RS00310	NZ_CP009273.1	65855	66574	-	720	4
BW25113_RS00315	NZ_CP009273.1	66874	67752	+	879	154
BW25113_RS00320	NZ_CP009273.1	67838	68602	+	765	14
BW25113_RS00325	NZ_CP009273.1	68716	69414	-	699	10
BW25113_RS00330	NZ_CP009273.1	69398	71008	-	1611	12
BW25113_RS00335	NZ_CP009273.1	70984	71967	-	984	54
BW25113_RS00340	NZ_CP009273.1	72131	73786	-	1656	98
BW25113_RS00345	NZ_CP009273.1	73875	74006	+	132	1
BW25113_RS00350	NZ_CP009273.1	74108	75286	+	1179	12
BW25113_RS00355	NZ_CP009273.1	75335	75940	-	606	25
BW25113_RS00360	NZ_CP009273.1	75951	77351	-	1401	27
BW25113_RS00365	NZ_CP009273.1	77354	78445	-	1092	21
BW25113_RS00370	NZ_CP009273.1	78445	80016	-	1572	21
BW25113_RS00375	NZ_CP009273.1	80109	80195	-	87	93
BW25113_RS00380	NZ_CP009273.1	80855	81799	+	945	24
BW25113_RS25405	NZ_CP009273.1	81954	81998	-	45	0
BW25113_RS00385	NZ_CP009273.1	82117	83841	+	1725	57
BW25113_RS00390	NZ_CP009273.1	83844	84335	+	492	19
BW25113_RS00395	NZ_CP009273.1	84347	84433	+	87	0
BW25113_RS00400	NZ_CP009273.1	84515	85519	+	1005	396
BW25113_RS00405	NZ_CP009273.1	86121	86579	+	459	64
BW25113_RS00410	NZ_CP009273.1	86581	87522	+	942	344
BW25113_RS00415	NZ_CP009273.1	87519	87884	+	366	46
BW25113_RS00420	NZ_CP009273.1	87900	89666	+	1767	239
BW25113_RS00425	NZ_CP009273.1	89653	91140	+	1488	479
BW25113_RS00430	NZ_CP009273.1	91137	92495	+	1359	309
BW25113_RS00435	NZ_CP009273.1	92489	93571	+	1083	169
BW25113_RS00440	NZ_CP009273.1	93574	94890	+	1317	303
BW25113_RS00445	NZ_CP009273.1	94890	96134	+	1245	104
BW25113_RS00450	NZ_CP009273.1	96131	97198	+	1068	135
BW25113_RS00455	NZ_CP009273.1	97252	98727	+	1476	454
BW25113_RS00460	NZ_CP009273.1	98720	99640	+	921	184
BW25113_RS00465	NZ_CP009273.1	99642	100472	+	831	84
BW25113_RS00470	NZ_CP009273.1	100469	101731	+	1263	516
BW25113_RS00475	NZ_CP009273.1	101792	102943	+	1152	2471
BW25113_RS00480	NZ_CP009273.1	103044	103961	+	918	1836
BW25113_RS00485	NZ_CP009273.1	104192	104704	+	513	222
BW25113_RS00490	NZ_CP009273.1	104766	107471	+	2706	2323
BW25113_RS00495	NZ_CP009273.1	107531	107920	+	390	30
BW25113_RS00505	NZ_CP009273.1	108136	108333	-	198	72
BW25113_RS00510	NZ_CP009273.1	108343	109086	-	744	173
BW25113_RS00515	NZ_CP009273.1	109086	109706	-	621	44
BW25113_RS25965	NZ_CP009273.1	109731	109775	+	45	0
BW25113_RS00520	NZ_CP009273.1	109931	110974	+	1044	495
BW25113_RS00525	NZ_CP009273.1	111009	112211	-	1203	2
BW25113_RS00530	NZ_CP009273.1	112201	113586	-	1386	1
BW25113_RS00535	NZ_CP009273.1	113596	114036	-	441	0
BW25113_RS00545	NZ_CP009273.1	114239	115132	-	894	265
BW25113_RS00550	NZ_CP009273.1	115220	115771	+	552	145
BW25113_RS00555	NZ_CP009273.1	115768	116622	+	855	112
BW25113_RS00560	NZ_CP009273.1	116665	118038	-	1374	51
BW25113_RS00565	NZ_CP009273.1	118579	119343	+	765	40
BW25113_RS00570	NZ_CP009273.1	119504	122167	+	2664	6149
BW25113_RS00575	NZ_CP009273.1	122182	124074	+	1893	5634
BW25113_RS00580	NZ_CP009273.1	124399	125823	+	1425	10795
BW25113_RS00585	NZ_CP009273.1	125894	127747	-	1854	2
BW25113_RS00590	NZ_CP009273.1	128102	130699	+	2598	19558
BW25113_RS00595	NZ_CP009273.1	130875	131237	+	363	234
BW25113_RS00600	NZ_CP009273.1	131275	132069	-	795	334
BW25113_RS00605	NZ_CP009273.1	132085	132951	-	867	582
BW25113_RS00610	NZ_CP009273.1	133057	133404	-	348	67
BW25113_RS00615	NZ_CP009273.1	133570	135120	+	1551	179
BW25113_RS26300	NZ_CP009273.1	135185	135283	-	99	0
BW25113_RS00620	NZ_CP009273.1	135322	137712	-	2391	95
BW25113_RS00625	NZ_CP009273.1	137918	138454	+	537	696
BW25113_RS00630	NZ_CP009273.1	138495	139157	-	663	1595
BW25113_RS00635	NZ_CP009273.1	139266	140192	+	927	199
BW25113_RS00640	NZ_CP009273.1	140189	140959	+	771	173
BW25113_RS00645	NZ_CP009273.1	141064	141504	+	441	33
BW25113_RS00650	NZ_CP009273.1	141568	142797	+	1230	18
BW25113_RS00655	NZ_CP009273.1	142801	143181	-	381	1043
BW25113_RS00660	NZ_CP009273.1	143455	144357	+	903	16
BW25113_RS00665	NZ_CP009273.1	144431	145282	-	852	788
BW25113_RS00670	NZ_CP009273.1	145294	146088	-	795	1114
BW25113_RS00675	NZ_CP009273.1	146202	147452	-	1251	2
BW25113_RS00680	NZ_CP009273.1	147490	148086	-	597	1
BW25113_RS00685	NZ_CP009273.1	148113	148718	-	606	6
BW25113_RS00690	NZ_CP009273.1	148730	149299	-	570	3
BW25113_RS00695	NZ_CP009273.1	149316	151913	-	2598	3
